case,tick,time_s,python_duty_cmd,c_duty_cmd,error_duty_cmd,python_vref_cmd_v,c_vref_cmd_v,error_vref_cmd_v,python_integrator,c_integrator,error_integrator,python_state,c_state,python_latched_fault,c_latched_fault,python_pwm_enable,c_pwm_enable
steady_12v,0,0.0,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,20,0.00010000000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,40,0.00020000000000000004,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,60,0.00030000000000000003,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,80,0.0004000000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,100,0.0005000000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,120,0.0006000000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,140,0.0007000000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,160,0.0008000000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,180,0.0009000000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,200,0.0010000000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,220,0.0011000000000000003,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,240,0.0012000000000000001,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
steady_12v,260,0.0013000000000000002,0.5041666666666667,0.504166663,3.6666666369811196e-09,12.0,12.0,0.0,0.004166666666666652,0.00416666688,2.1333334838252727e-10,2,2,0,0,True,True
