time_s,vout_v,inductor_current_a,mosfet_vds_v
0.0,0.0,0.0,0.0
2e-07,0.0002181208942772638,0.2181811571631123,0.0
4e-07,0.0008722373404766927,0.4363583493297831,0.0
6e-07,0.001961974272262754,0.6545276146031669,0.0
8e-07,0.003486949018663771,0.8726849945306884,0.0
1e-06,0.00544677131736122,1.0908265341731156,0.0
1.2e-06,0.007841043328105934,1.3089482821735112,0.0
1.4e-06,0.010546658042294977,1.3634102060716367,24.0
1.6e-06,0.013263453289162584,1.3633019764137233,24.0
1.8e-06,0.0159777444301827,1.3631690599636779,24.0
2e-06,0.01868948422112479,1.3630114797009105,24.0
2.2e-06,0.02139862550348089,1.3628292590339346,24.0
2.4e-06,0.024105121205251278,1.3626224217995848,24.0
2.5999999999999997e-06,0.02680892434172794,1.3623909922622275,24.0
2.8e-06,0.029509988016275714,1.3621349951129622,24.0
3e-06,0.03220826542111128,1.3618544554688188,24.0
3.2e-06,0.0349037098380798,1.361549398871945,24.0
3.3999999999999996e-06,0.03759627463942938,1.3612198512887892,24.0
3.6e-06,0.040285913288583185,1.3608658391092743,24.0
3.8e-06,0.04298621475633394,1.4150328333612623,0.0
4e-06,0.04599701638826435,1.6328105103761184,0.0
4.2e-06,0.04944065531200005,1.8505588487071036,0.0
4.4e-06,0.05331670839460584,2.0682739153873877,0.0
4.6e-06,0.057624744996821596,2.285951781330931,0.0
4.8e-06,0.06236432698714161,2.503588521400665,0.0
4.9999999999999996e-06,0.06753500875601813,2.721180214476536,0.0
5.199999999999999e-06,0.07313633723018906,2.938722943523423,0.0
5.4e-06,0.07916785188712948,3.1562127956589245,0.0
5.6e-06,0.08562908476962626,3.3736458622210117,0.0
5.7999999999999995e-06,0.09251956050047594,3.5910182388355514,0.0
6e-06,0.09983879629730509,3.8083260254836935,0.0
6.2e-06,0.10758630198751278,4.025565326569119,0.0
6.4e-06,0.11563887841936994,4.079096166230911,24.0
6.5999999999999995e-06,0.12369627146972509,4.078008272450895,24.0
6.799999999999999e-06,0.1317447047399218,4.076847170264157,24.0
7e-06,0.13978403941936082,4.075612941754413,24.0
7.2e-06,0.14781413697842963,4.074305670266017,24.0
7.3999999999999995e-06,0.1558348591707866,4.0729254404014,24.0
7.6e-06,0.16384606803563748,4.071472338018482,24.0
7.8e-06,0.1718476259000045,4.069946450228057,24.0
8e-06,0.17983939538098906,4.068347865391186,24.0
