case,tick,time_s,float_duty_cmd,fixed_duty_cmd,fixed_duty_cmd_raw,error_duty_cmd,float_vref_cmd_v,fixed_vref_cmd_v,fixed_vref_cmd_raw,error_vref_cmd_v,float_integrator,fixed_integrator,fixed_integrator_raw,error_integrator,float_state,fixed_state,float_latched_fault,fixed_latched_fault,float_pwm_enable,fixed_pwm_enable,fixed_arithmetic_overflow,fixed_peak_abs_raw
steady_12v,500,0.0025,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,520,0.0026,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,540,0.0027,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,560,0.0028,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,580,0.0029,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,600,0.003,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,620,0.0031,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,640,0.0032,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,660,0.0033,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,680,0.0034,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,700,0.0035,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,720,0.0036,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,740,0.0037,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,760,0.0038,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,780,0.0039,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,800,0.004,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,820,0.0041,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,840,0.0042,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,860,0.0043,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,880,0.0044,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,900,0.0045,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,920,0.0046,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,940,0.0047,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,960,0.0048,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,980,0.0049,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1000,0.005,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1020,0.0051,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1040,0.0052,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1060,0.0053,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1080,0.0054,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1100,0.0055,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1120,0.0056,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1140,0.0057,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1160,0.0058,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1180,0.0059,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1200,0.006,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1220,0.0061,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1240,0.0062,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1260,0.0063,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1280,0.0064,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1300,0.0065,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1320,0.0066,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1340,0.0067,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1360,0.0068,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1380,0.0069,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1400,0.007,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1420,0.0071,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1440,0.0072,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1460,0.0073,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1480,0.0074,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1500,0.0075,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1520,0.0076,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1540,0.0077,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
steady_12v,1560,0.0078,0.504166663,0.504166603088,528657,5.991200002775088e-08,12.0,12.0,12582912,0.0,0.00416666688,0.00416660308838,4369,6.379162000025307e-08,2,2,0,0,True,True,False,104857600
