name,vin_ratio,vout_ratio,current_offset_v,current_gain_v_per_a,temperature_offset_v,temperature_slope_v_per_c,vin_lsb_v,vout_lsb_v,iout_lsb_a,temperature_lsb_c
nominal,9.2,4.9,0.1,0.4,0.5,0.01,0.007413919413919413,0.003948717948717949,0.0020146520146520144,0.08058608058608059
tolerance_actual,9.292,4.8608,0.112,0.406,0.505,0.0099,0.0074880586080586075,0.003917128205128205,0.0019848788321694725,0.0814000814000814
