case,index,vin_true_v,vout_true_v,iout_true_a,temperature_true_c,vin_mapped_v,vout_mapped_v,iout_mapped_a,temperature_mapped_c,vin_code,vout_code,iout_code,temperature_code,vin_q20,vout_q20,iout_q20,temperature_q20,input_code_clamped,physical_value_clamped,arithmetic_overflow
nominal_sweep,30,13.0,2.4,1.125,1.0,12.9966011047,2.40081882477,1.12600708008,1.01099967957,1753,608,683,633,13627924,2517441,1180704,1060110,False,False,False
nominal_sweep,31,13.1,2.48,1.1625,1.7,13.1003952026,2.47979736328,1.16226959229,1.73630046844,1767,628,701,642,13736760,2600256,1218728,1820643,False,False,False
nominal_sweep,32,13.2,2.56,1.2,2.4,13.1967744827,2.55877017975,1.20055007935,2.38099956512,1780,648,720,650,13837821,2683065,1258868,2496659,False,False,False
nominal_sweep,33,13.3,2.64,1.2375,3.1,13.3005685806,2.64169311523,1.23681259155,3.1062002182,1794,669,738,659,13946657,2770016,1296892,3257087,False,False,False
nominal_sweep,34,13.4,2.72,1.275,3.8,13.3969478607,2.7206659317,1.27509212494,3.83150005341,1807,689,757,668,14047718,2852825,1337031,4017619,False,False,False
nominal_sweep,35,13.5,2.8,1.3125,4.5,13.5007514954,2.79963970184,1.31336975098,4.47620010376,1821,709,776,676,14156564,2935635,1377168,4693636,False,False,False
nominal_sweep,36,13.6,2.88,1.35,5.2,13.5971307755,2.87861728668,1.34963226318,5.20149993896,1834,729,794,685,14257625,3018449,1415192,5454168,False,False,False
nominal_sweep,37,13.7,2.96,1.3875,5.9,13.7009248734,2.96154022217,1.38791275024,5.92669963837,1848,750,813,694,14366461,3105400,1455332,6214595,False,False,False
nominal_sweep,38,13.8,3.04,1.425,6.6,13.7973041534,3.04051399231,1.42417526245,6.57139968872,1861,770,831,702,14467522,3188210,1493356,6890612,False,False,False
nominal_sweep,39,13.9,3.12,1.4625,7.3,13.901099205,3.11948680878,1.46245479584,7.29669952393,1875,790,850,711,14576359,3271019,1533495,7651144,False,False,False
nominal_sweep,40,14.0,3.2,1.5,8.0,13.9974775314,3.19846057892,1.50073242188,8.02200031281,1888,810,869,720,14677419,3353829,1573632,8411677,False,False,False
nominal_sweep,41,14.1,3.28,1.5375,8.7,14.101272583,3.28138256073,1.5369977951,8.66670036316,1902,831,887,728,14786256,3440779,1611659,9087694,False,False,False
nominal_sweep,42,14.2,3.36,1.575,9.4,14.1976518631,3.36036109924,1.57527542114,9.39190006256,1915,851,906,737,14887317,3523594,1651796,9848121,False,False,False
nominal_sweep,43,14.3,3.44,1.6125,10.1,14.301445961,3.43933486938,1.61153793335,10.1171998978,1929,871,924,746,14996153,3606404,1689820,10608653,False,False,False
nominal_sweep,44,14.4,3.52,1.65,10.8,14.3978347778,3.51830768585,1.64981746674,10.7618999481,1942,891,943,754,15097224,3689213,1729959,11284670,False,False,False
